archivo,linea,simbolo,tipo_objeto,ruta_mencionada,categoria,consumidores,impacto,recomendacion,evidencia,versionado
.dockerignore,11,.dockerignore,Configuración,var/storage,docker_build_context,Build de Compose (no ejecutado),Exclusión legacy del contexto o preparación de root canónico,Conservar exclusiones y directorio canónico,var/storage,True
.dockerignore,12,.dockerignore,Configuración,var/storage,docker_build_context,Build de Compose (no ejecutado),Exclusión legacy del contexto o preparación de root canónico,Conservar exclusiones y directorio canónico,var/storage/**,True
.dockerignore,13,.dockerignore,Configuración,backend_api/var/storage,docker_build_context,Build de Compose (no ejecutado),Exclusión legacy del contexto o preparación de root canónico,Conservar exclusiones y directorio canónico,backend_api/var/storage,True
.dockerignore,14,.dockerignore,Configuración,backend_api/var/storage,docker_build_context,Build de Compose (no ejecutado),Exclusión legacy del contexto o preparación de root canónico,Conservar exclusiones y directorio canónico,backend_api/var/storage/**,True
.env,35,STORAGE_ROOT,Variable de entorno,/app/var/storage,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,STORAGE_ROOT=/app/var/storage,False
.env,35,STORAGE_ROOT,Variable de entorno,STORAGE_ROOT,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,STORAGE_ROOT=/app/var/storage,False
.env,36,ARTIFACTS_ROOT,Variable de entorno,ARTIFACTS_ROOT,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,ARTIFACTS_ROOT=/app/var/artifacts,False
.env.example,29,STORAGE_ROOT,Variable de entorno,/app/var/storage,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,STORAGE_ROOT=/app/var/storage,True
.env.example,29,STORAGE_ROOT,Variable de entorno,STORAGE_ROOT,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,STORAGE_ROOT=/app/var/storage,True
.env.example,35,ARTIFACTS_ROOT,Variable de entorno,ARTIFACTS_ROOT,canonical_runtime,Compose env_file y configuración backend,Namespace/key relativo o root científico canónico; no fallback legacy,Conservar contrato actual,ARTIFACTS_ROOT=./var/artifacts,True
.gitignore,44,.gitignore,Configuración,microscopy-images,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/microscopy-images/,True
.gitignore,44,.gitignore,Configuración,var/storage,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/microscopy-images/,True
.gitignore,45,.gitignore,Configuración,cell-crops,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/cell-crops/,True
.gitignore,45,.gitignore,Configuración,var/storage,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/cell-crops/,True
.gitignore,46,.gitignore,Configuración,cell-explanations,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/cell-explanations/,True
.gitignore,46,.gitignore,Configuración,var/storage,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/cell-explanations/,True
.gitignore,47,.gitignore,Configuración,model-explanations,ignored_local_data,Git: check-ignore --no-index,No retira archivos ya rastreados,Conservar reglas; tratar índice en fase futura,/var/storage/model-explanations/,True
